code,ecosystem
PYI020,94
PYI010,5
PYI021,1622
D418,33
PYI018,1
PYI017,2
F702,1
PYI050,6
FAST002,511
PLR1733,21
RUF032,19
FAST001,11
FAST003,3
PT030,108
S107,39
FURB157,18
S606,12
PIE796,3
UP011,6
UP039,38
PYI025,10
PLW0120,14
E902,4
SIM101,21
C400,21
UP018,26
PLE1205,14
B026,26
SLOT002,6
PTH115,11
PLC2403,87
PLC2401,160
ISC002,7
SIM223,5
UP025,31
PLW0604,7
FURB187,12
PD101,6
RUF007,19
C411,3
C406,3
AIR311,2465
C413,27
AIR001,2294
PYI061,9
PYI013,9
B033,9
AIR002,216
C418,5
AIR312,8
AIR302,2
AIR301,20
S604,26
B034,9
C409,9
ASYNC110,22
RUF008,6
PLE0605,20
RUF101,4
TD007,4
RUF017,88
SIM222,3
DTZ012,4
S507,1
FURB168,1
PLE0704,9
PT008,39
RUF200,8
S306,8
RUF018,38
LOG009,16
UP014,2
UP013,6
F402,1
F632,2
PLW0406,3
ASYNC221,11
RUF057,3
PYI053,4
PYI049,2
RUF009,9
E714,1
PLE0101,4
PLW1509,7
RUF016,1
PYI056,16
G010,7
LOG001,2
B030,2
PLW0711,1
B039,3
B021,1
PLC0132,1
PGH005,3
PLW0133,3
S302,3
PT020,1
ASYNC115,5
C410,2
S318,6
PT025,3
PLR1716,3
PYI045,2
C415,1
FURB116,3
UP041,12
YTT201,1
D211,8
YTT203,4
S504,1
UP019,5522
ASYNC210,5
G202,9
PYI015,1
S610,116
PLC3002,16
F823,6
PLW0177,98
DJ001,40
DJ008,115
PTH205,2
ASYNC109,24
S323,1
YTT103,2
B013,1
YTT301,1
FURB163,1
PYI062,2
S201,1
PLE0604,6
PYI002,5
PT021,4
RUF020,3
RUF040,1
DJ012,3
PYI064,24
